name,abbreviation,capital,population,area
Alabama,AL,Montgomery,4903185,52420
Alaska,AK,Juneau,731545,665384
Arizona,AZ,Phoenix,7278717,113990
Arkansas,AR,Little Rock,3017804,53179
California,CA,Sacramento,39512223,163695
Colorado,CO,Denver,5758736,104094
Connecticut,CT,Hartford,3565278,5543
Delaware,DE,Dover,973764,2489
Florida,FL,Tallahassee,21477737,65758
Georgia,GA,Atlanta,10617423,59425
Hawaii,HI,Honolulu,1415872,10932
Idaho,ID,Boise,1787065,83569
Illinois,IL,Springfield,12671821,57914
Indiana,IN,Indianapolis,6732219,36420
Iowa,IA,Des Moines,3155070,56273
Kansas,KS,Topeka,2913314,82278
Kentucky,KY,Frankfort,4467673,40408
Louisiana,LA,Baton Rouge,4648794,52378
Maine,ME,Augusta,1344212,35380
Maryland,MD,Annapolis,6045680,12406
Massachusetts,MA,Boston,6892503,10554
Michigan,MI,Lansing,9986857,96714
Minnesota,MN,St. Paul,5639632,86936
Mississippi,MS,Jackson,2976149,48432
Missouri,MO,Jefferson City,6137428,69707
Montana,MT,Helena,1068778,147040
Nebraska,NE,Lincoln,1934408,77348
Nevada,NV,Carson City,3080156,110572
New Hampshire,NH,Concord,1359711,9349
New Jersey,NJ,Trenton,8882190,8723
New Mexico,NM,Santa Fe,2096829,121590
New York,NY,Albany,19453561,54555
North Carolina,NC,Raleigh,10488084,53819
North Dakota,ND,Bismarck,762062,70698
Ohio,OH,Columbus,11689100,44826
Oklahoma,OK,Oklahoma City,3956971,69899
Oregon,OR,Salem,4217737,98379
Pennsylvania,PA,Harrisburg,12801989,46054
Rhode Island,RI,Providence,1059361,1545
South Carolina,SC,Columbia,5148714,32020
South Dakota,SD,Pierre,884659,77116
Tennessee,TN,Nashville,6829174,42144
Texas,TX,Austin,28995881,268596
Utah,UT,Salt Lake City,3205958,84897
Vermont,VT,Montpelier,623989,9616
Virginia,VA,Richmond,8535519,42775
Washington,WA,Olympia,7614893,71298
West Virginia,WV,Charleston,1792147,24230
Wisconsin,WI,Madison,5822434,65496
Wyoming,WY,Cheyenne,578759,97813
